Point,X_meters,Y_meters
M-0,1346.092,1509.458
E-26,16.150,-1.271
E-27,41.455,100.222
E-30,119.736,101.930
E-31,122.855,122.798
E-32,157.742,140.230
E-33,185.374,110.076
E-34,235.336,161.363
E-35,268.851,164.886
E-36,254.914,187.189
E-37,298.774,220.541
E-39,339.809,215.866
E-40,359.909,242.540
E-41,406.552,271.686
E-42,430.328,263.960
k-42,535.988,172.112
M-13,795.372,-55.362
M-14,704.941,-325.635
M-15,1006.380,575.273
M-15A,736.891,390.058
M-15B,691.274,289.962
M-15C,904.884,-111.779
M-15D,1135.587,-177.932
M-15E,1261.921,-291.684
M-16,1313.416,-658.083
E-43,1398.765,-629.526
E-44,1361.595,-609.970
E-45,1328.360,-591.547
E-46,1396.029,-554.806
E-47,1311.728,-523.287
E-48,1287.471,-517.239
E-49,1098.894,-403.931
M-6,1019.443,-394.574
M-7,1100.221,-43.754
M-8,1156.821,50.567
M-9,1266.351,469.113
E-11A,1284.913,490.342
E-12,1311.375,515.410
M-10,1400.285,568.938
E-13,1427.307,608.161
E-14,1459.259,688.317
E-15,1502.980,734.148
E-16,1560.277,872.589
E-17,1616.830,1008.005
E-18,1631.717,1035.538
E-19,1665.301,1050.898
M-11,1716.092,1079.458
M-1B,1246.092,1079.458
M-1,1346.092,1079.458
